Food_Category,Temperature_C,Humidity_%,Storage_Days,Packaging,Moisture_%,pH,Refrigerated,Transport_Hours,Risk
Vegetables,0.5,69,38,Good,41,6.4,No,15,Caution
Vegetables,19.4,42,57,Good,37.5,3.8,No,21,Reject
Meat,2.9,84,48,Average,77.3,6,No,15,Reject
Grains,9.7,56,14,Good,47.5,5,No,14,Caution
Vegetables,2.5,51,17,Good,15.8,3.6,Yes,3,Safe
Dairy,20.4,69,7,Good,48.6,6.8,Yes,9,Safe
Vegetables,6.5,65,53,Average,55.9,5.9,Yes,17,Caution
Dairy,20.5,49,43,Average,30,5.1,No,11,Reject
Vegetables,8,72,14,Good,38.4,5.3,Yes,22,Safe
Meat,28.6,56,7,Average,36.8,6.6,No,13,Reject
Meat,27.2,65,54,Good,64.7,4.5,Yes,24,Caution
Fruits,0.4,64,44,Good,33.7,3.6,Yes,5,Safe
Dairy,7.6,92,4,Good,8.8,7,Yes,21,Safe
Fruits,0.8,77,23,Average,76.5,6.6,Yes,12,Caution
Vegetables,1.2,72,34,Good,79.3,4.9,Yes,13,Caution
Grains,7.3,90,29,Good,82.9,5,No,3,Caution
Grains,20.3,71,44,Good,30,6.8,No,22,Caution
Fruits,29.1,91,46,Average,31.4,6.4,Yes,18,Reject
Vegetables,19.7,82,35,Damaged,67.4,6,Yes,21,Reject
Fruits,34.5,83,15,Average,54.4,5.3,Yes,5,Caution
Fruits,19.1,75,32,Good,41.5,6.3,No,9,Reject
Dairy,11.9,87,35,Good,23.2,6.9,Yes,20,Caution
Grains,5.9,57,18,Good,75.4,5.3,No,15,Caution
Grains,7,63,7,Average,19.8,6,No,11,Safe
Grains,14.8,81,50,Good,17.3,6.8,No,10,Caution
Grains,1.3,94,37,Average,68.4,4.4,No,5,Caution
Vegetables,20.8,59,13,Average,8.1,3.3,Yes,1,Caution
Vegetables,17.1,95,40,Average,66.4,6,Yes,15,Reject
Dairy,22.1,86,21,Good,31.2,4.8,Yes,20,Reject
Meat,31.8,80,42,Damaged,49,5.7,No,2,Reject
Grains,11.5,59,58,Average,46.9,6.6,No,20,Caution
Meat,20.9,92,23,Good,59.1,3.6,No,17,Reject
Meat,12.1,54,4,Average,28,6.1,Yes,7,Safe
Vegetables,23,74,43,Average,19,3.4,Yes,23,Reject
Fruits,32.8,89,37,Damaged,27.3,5.4,No,18,Reject
Dairy,9.8,59,47,Good,51.4,6.2,Yes,3,Caution
Grains,21.1,84,44,Good,39.9,4.5,No,9,Caution
Vegetables,7.1,60,59,Good,24.9,6.1,No,9,Caution
Grains,17,49,31,Damaged,24.7,5.2,No,5,Reject
Vegetables,25.6,79,10,Damaged,11.8,4.2,Yes,13,Reject
Grains,33.1,84,1,Good,26.5,5.2,No,3,Safe
Fruits,9.5,47,9,Average,29.9,6,No,20,Reject
Vegetables,6.4,86,11,Good,21.4,3.4,Yes,21,Caution
Grains,25.5,80,26,Good,30,5.9,No,1,Caution
Dairy,17.2,48,55,Damaged,75.4,4.5,Yes,5,Reject
Vegetables,6.9,72,2,Average,74.6,5.9,Yes,18,Safe
Meat,7.2,61,13,Average,14.4,6.1,Yes,13,Caution
Grains,6.7,73,17,Good,16.8,3.2,No,13,Caution
Fruits,3.9,48,49,Good,46.8,5.9,No,16,Caution
Grains,19.2,65,45,Good,54.1,4.1,No,13,Caution
Vegetables,22.7,94,29,Good,73.5,4.4,Yes,7,Caution
Grains,2.2,90,42,Good,86.2,4.9,No,1,Caution
Vegetables,4.5,71,58,Good,87.3,6.2,Yes,8,Safe
Dairy,14.1,63,33,Average,36.8,5.1,Yes,15,Caution
Fruits,1.6,42,46,Good,59.6,7.1,Yes,18,Caution
Vegetables,21.7,73,10,Average,51.8,7,Yes,16,Caution
Dairy,8.4,49,7,Damaged,75.4,5.6,Yes,21,Caution
Vegetables,3.9,46,13,Damaged,23.8,4.5,Yes,9,Caution
Vegetables,11.3,86,54,Damaged,55.2,5.3,No,11,Reject
Meat,10.1,49,12,Good,38.8,4,No,4,Caution
Vegetables,6.3,70,7,Average,51.3,4.6,Yes,22,Safe
Fruits,29.7,59,6,Average,18.7,4.9,Yes,6,Caution
Meat,25.2,54,42,Average,9.1,5.2,No,16,Reject
Meat,29.8,80,4,Good,51.5,5,Yes,18,Caution
Meat,22.9,59,11,Good,42.9,4.2,Yes,14,Caution
Vegetables,3.6,95,13,Damaged,59.1,5.2,No,6,Reject
Grains,9.7,90,11,Good,13.5,7.2,No,18,Caution
Fruits,31.9,64,43,Average,83.5,4.3,No,16,Reject
Vegetables,1.4,44,4,Good,73,3.6,Yes,13,Safe
Grains,4.2,42,7,Average,33.1,4.7,No,6,Safe
Fruits,28.7,93,3,Average,76.1,6.6,Yes,24,Caution
Vegetables,12.4,44,57,Good,10.3,6,Yes,2,Caution
Meat,9.8,86,10,Good,21.9,6,No,8,Caution
Dairy,30.9,58,41,Good,55.2,4.1,No,18,Reject
Dairy,18.9,56,5,Good,25,3.9,No,21,Caution
Grains,6.7,65,10,Good,85.5,3.4,No,15,Safe
Grains,8.8,82,4,Average,20.9,5.7,No,15,Caution
Dairy,27.2,46,21,Average,15.6,6.7,No,12,Reject
Vegetables,33.7,84,49,Good,74.6,4.9,Yes,2,Caution
Grains,25.1,64,20,Good,62.9,5.9,No,9,Caution
Fruits,25.5,68,30,Average,81.9,5.7,Yes,23,Reject
Dairy,23.9,59,30,Damaged,78.6,5.7,No,3,Reject
Fruits,18.9,79,40,Good,19.5,6.3,Yes,6,Caution
Meat,6.2,43,47,Good,28.2,3.2,Yes,17,Caution
Vegetables,7.2,75,30,Good,41.4,6.3,Yes,23,Caution
Meat,15.1,48,11,Good,55.3,5.9,No,9,Caution
Fruits,14.4,48,5,Good,57.9,3.9,Yes,12,Safe
Vegetables,31.3,51,20,Average,35.8,6,Yes,22,Reject
Grains,22.8,95,39,Good,17.4,3.8,No,15,Reject
Dairy,33.5,67,44,Good,80.8,4.3,Yes,7,Caution
Grains,1.3,46,31,Good,51.3,4.7,No,3,Safe
Vegetables,2.4,78,60,Good,24.9,5.3,No,19,Caution
Fruits,12.3,83,58,Damaged,59.3,4.3,Yes,6,Caution
Meat,31.4,82,42,Average,48.4,4.9,Yes,13,Reject
Vegetables,22.4,90,32,Damaged,17.9,5.4,No,3,Reject
Meat,21.2,60,52,Average,39.7,5.1,No,2,Reject
Grains,16.7,92,3,Average,52.8,4.5,No,13,Caution
Fruits,22.7,45,45,Good,67.9,6.2,Yes,13,Caution
Vegetables,9.2,74,14,Good,24.9,3.9,Yes,11,Caution
Vegetables,14.9,71,4,Good,46.5,5.2,No,23,Caution
Vegetables,21.7,68,44,Average,44.5,3.3,Yes,12,Reject
Grains,17.2,52,9,Good,23.3,5.7,No,12,Caution
Vegetables,17.8,58,2,Good,62.4,4.7,Yes,23,Caution
Meat,5.7,92,1,Average,37.6,6.6,Yes,19,Caution
Dairy,20.4,86,13,Good,33.4,4.2,Yes,21,Caution
Meat,13.9,88,50,Good,25.9,4.8,Yes,17,Caution
Meat,7.8,66,48,Average,45,5.2,Yes,16,Caution
Fruits,19.9,51,12,Average,74.4,3.5,Yes,21,Caution
Fruits,25.6,55,24,Average,20.1,6.9,Yes,18,Reject
Fruits,1.9,73,6,Good,63,5.3,No,23,Caution
Fruits,20.5,55,45,Average,16.8,4.6,No,19,Reject
Vegetables,7.8,40,51,Good,55.9,3.7,No,15,Caution
Vegetables,15.9,84,36,Good,9.6,7,Yes,24,Caution
Dairy,2.2,44,45,Average,61.8,4.8,No,6,Caution
Vegetables,3.7,66,9,Good,28.2,3.3,No,5,Caution
Dairy,0,72,17,Good,75.4,5,Yes,17,Caution
Dairy,23.9,75,2,Good,81.5,5.5,No,17,Caution
Dairy,10.7,48,40,Good,73.8,3.9,Yes,12,Caution
Vegetables,6.8,45,17,Good,29.6,4.8,Yes,6,Safe
Meat,28.4,87,40,Average,44.5,6.6,Yes,23,Reject
Meat,30.7,88,54,Damaged,78.5,5.2,Yes,7,Reject
Fruits,8.7,67,19,Good,37.5,3.6,Yes,11,Caution
Fruits,32.7,48,51,Damaged,77.4,4,Yes,18,Reject
Dairy,11.4,45,20,Good,76.7,5.1,No,22,Reject
Meat,28.1,56,34,Good,29.3,6.8,No,20,Reject
Fruits,21.4,42,38,Good,51.7,3.3,Yes,18,Caution
Meat,12.9,71,50,Good,22.4,3.6,No,23,Reject
Dairy,5.8,73,7,Average,26,6.6,Yes,1,Safe
Dairy,24.6,59,5,Damaged,24,3.5,Yes,10,Caution
Vegetables,10.6,95,28,Good,78.9,3.9,Yes,15,Caution
Fruits,30.4,94,28,Average,20.2,3.4,Yes,12,Reject
Dairy,20.6,61,48,Damaged,83.1,6.2,No,12,Reject
Vegetables,24.8,55,32,Good,56.3,5.9,Yes,4,Caution
Fruits,19.7,72,12,Good,60.7,4.5,Yes,14,Caution
Fruits,20.9,86,50,Average,25.2,3.5,Yes,19,Reject
Dairy,13.2,65,36,Good,22.5,6.7,Yes,6,Caution
Meat,24.5,48,11,Damaged,84.2,4.6,Yes,11,Reject
Meat,25.8,77,33,Good,76.6,7.1,Yes,20,Caution
Grains,25.2,89,35,Damaged,74.3,6.8,No,4,Reject
Grains,23.5,91,43,Good,68,5.6,No,10,Caution
Grains,6.5,88,47,Good,46.6,5.3,No,16,Caution
Grains,32.9,56,19,Good,41.3,4.6,No,16,Caution
Fruits,31.2,65,19,Good,40,4.8,Yes,17,Caution
Vegetables,25.3,80,38,Good,78.3,3.7,Yes,8,Caution
Meat,6.8,53,38,Good,76.5,4.6,Yes,1,Safe
Meat,33.6,40,20,Good,42.5,7.1,Yes,8,Caution
Grains,26.4,68,16,Good,82.3,6.2,No,6,Caution
Meat,12.1,92,6,Good,58,6.8,Yes,16,Caution
Meat,26,56,19,Good,31.9,7,Yes,4,Caution
Dairy,17,81,22,Average,32.7,3.9,Yes,6,Caution
Meat,9,93,36,Average,17.1,4.1,Yes,5,Caution
Meat,6.2,74,58,Good,88.6,6.1,Yes,11,Caution
Grains,16.1,66,42,Average,70.5,5.1,No,4,Caution
Fruits,2.3,41,33,Good,52,4.5,Yes,15,Caution
Grains,11.5,58,36,Good,31.5,7,No,22,Caution
Meat,22.6,57,8,Average,72.3,3.5,Yes,17,Caution
Grains,31.4,46,1,Good,22,7.1,No,19,Caution
Dairy,12.1,58,49,Good,88.8,4,Yes,15,Caution
Meat,29.6,92,34,Average,12.2,4.2,Yes,11,Reject
Meat,27,90,7,Good,72.7,4.2,Yes,3,Caution
Meat,21.8,87,58,Average,19.2,6.2,Yes,15,Reject
Dairy,23.6,66,51,Good,36.7,5.6,No,12,Reject
Grains,13.2,93,32,Good,50.2,6.9,No,14,Caution
Dairy,24.3,59,18,Good,64.3,6.1,Yes,18,Caution
Fruits,0.6,90,42,Good,52.4,4,Yes,5,Caution
Meat,11.9,70,26,Average,27.9,6.8,No,23,Reject
Vegetables,3.7,88,11,Good,35.2,6.8,No,14,Caution
Grains,31,42,20,Damaged,21.7,3.5,No,22,Reject
Vegetables,14.7,76,47,Average,67.2,3.8,No,11,Reject
Fruits,8.4,48,24,Average,81.6,4.3,Yes,9,Caution
Vegetables,2.4,68,14,Good,52.8,5.4,Yes,18,Safe
Grains,30.4,40,35,Good,22.4,6.1,No,19,Caution
Vegetables,12.8,67,33,Damaged,32.3,5,Yes,4,Caution
Grains,34.8,74,23,Damaged,34,7.1,No,5,Reject
Fruits,11.5,73,45,Damaged,30.7,3.4,Yes,20,Reject
Vegetables,32.7,81,47,Good,19.2,3.4,Yes,13,Caution
Dairy,8.3,73,6,Average,13.8,6.2,Yes,9,Safe
Meat,10.2,75,53,Average,10.2,6.5,No,19,Reject
Vegetables,8.4,74,39,Good,38.5,5.7,Yes,4,Caution
Vegetables,32.4,80,35,Good,24.7,4.1,Yes,14,Caution
Meat,13.8,60,60,Good,44.3,6,Yes,9,Caution
Dairy,11.1,82,28,Good,57.1,6.9,Yes,10,Caution
Vegetables,8.3,79,14,Damaged,62.9,5.6,Yes,4,Caution
Fruits,14,83,41,Average,39.3,3.3,Yes,7,Caution
Fruits,19.2,48,41,Damaged,58.8,5,Yes,4,Reject
Meat,12.5,60,18,Good,45.9,6.4,Yes,18,Caution
Vegetables,4.1,51,1,Good,47.3,5.6,No,12,Caution
Meat,14.7,72,1,Good,73.8,5.1,Yes,21,Safe
Vegetables,17.7,54,19,Good,62,6.2,No,13,Reject
Dairy,12.8,73,34,Good,40,6.6,Yes,9,Caution
Meat,11.6,74,57,Good,80.6,3.3,No,18,Reject
Meat,20.5,92,28,Good,30.1,4.1,Yes,11,Reject
Vegetables,28.1,67,22,Good,27.9,5.3,Yes,19,Caution
Grains,14.3,62,60,Good,53.6,6.3,No,7,Caution
Meat,20.6,66,51,Average,62.6,5.5,Yes,10,Caution
Dairy,14.4,83,33,Good,81.2,3.6,No,10,Caution
Fruits,33,80,60,Damaged,45.8,6.2,Yes,10,Reject
Meat,7,66,41,Damaged,21.9,5.7,No,19,Reject
Dairy,28.8,68,29,Average,25.5,6.7,Yes,18,Reject
Meat,25.8,78,7,Average,83.8,4.1,Yes,12,Caution
Dairy,4.9,51,16,Damaged,47.7,4.1,Yes,9,Caution
Dairy,3.4,67,50,Good,25.6,3.4,Yes,16,Caution
Meat,26.4,84,24,Damaged,17.5,5.8,Yes,22,Reject
Grains,34.4,47,42,Good,19.5,4.3,No,8,Caution
Vegetables,6.8,95,18,Average,17.9,4,Yes,9,Caution
Grains,33.8,84,47,Average,60.5,6.5,No,7,Caution
Vegetables,22.2,82,53,Damaged,48.5,7.1,Yes,10,Reject
Grains,6.8,91,6,Good,59.7,4.9,No,20,Safe
Dairy,23.4,52,37,Good,53.4,4.6,No,3,Reject
Dairy,11.8,54,34,Good,58.8,5.6,Yes,2,Caution
Meat,23.5,48,50,Average,85.7,4,Yes,15,Reject
Dairy,8.4,91,45,Good,32.8,7,Yes,9,Caution
Dairy,7.4,85,18,Damaged,84.1,5.1,Yes,15,Caution
Meat,8.4,63,44,Average,8.4,3.6,Yes,17,Caution
Meat,2.6,71,55,Good,23.3,4,Yes,13,Caution
Grains,22.6,56,46,Damaged,13.4,6.4,No,14,Reject
Dairy,27.7,94,56,Good,49.7,5.7,Yes,5,Caution
Vegetables,0.9,91,55,Good,51.6,5.8,Yes,22,Caution
Grains,33,81,54,Good,25.8,6.4,No,11,Caution
Meat,14.8,44,14,Good,27.6,5.1,Yes,7,Safe
Vegetables,33.4,63,17,Good,72.1,4.6,No,21,Reject
Fruits,29.6,79,31,Average,82.9,5.1,Yes,20,Reject
Dairy,18.7,58,17,Average,28.3,3.6,Yes,1,Caution
Grains,19.4,90,52,Average,45.3,5.4,No,2,Reject
Vegetables,28.5,64,46,Average,38.9,6.6,No,3,Reject
Dairy,4.9,64,56,Good,66.4,7.1,Yes,17,Caution
Vegetables,25.6,57,28,Good,15.1,6.8,No,8,Reject
Grains,31.2,83,17,Good,80.9,4.7,No,1,Caution
Grains,18,62,47,Good,47.8,6.4,No,8,Caution
Vegetables,16.1,88,11,Average,78.8,5.9,Yes,3,Caution
Dairy,17.1,64,46,Damaged,40.5,5.2,No,21,Reject
Vegetables,5.6,51,7,Good,34.6,5,Yes,7,Safe
Grains,13.5,62,41,Good,25.3,5.8,No,12,Caution
Dairy,4.8,67,40,Good,12.4,5.4,Yes,17,Caution
Vegetables,33.3,66,56,Good,26.1,4.4,Yes,18,Caution
Vegetables,3.9,51,29,Good,43.4,6.3,Yes,4,Safe
Fruits,21.6,79,44,Damaged,53.1,3.9,No,5,Reject
Meat,19.7,55,23,Damaged,51.9,3.5,Yes,3,Reject
Grains,14.4,48,32,Good,80.3,4.9,No,20,Caution
Fruits,15.9,60,25,Good,68.7,4.8,Yes,24,Caution
Vegetables,34,63,11,Good,71.6,4.9,Yes,20,Caution
Meat,24.2,93,10,Damaged,9.3,5.3,No,21,Reject
Dairy,33.1,71,60,Good,82.2,5.9,Yes,6,Caution
Vegetables,33,89,38,Average,12.8,4.6,No,4,Reject
Vegetables,34.6,63,26,Good,25.9,5,Yes,15,Caution
Grains,18.9,84,47,Good,42.3,6.6,No,22,Caution
Meat,2.5,50,47,Good,69.9,6.3,Yes,15,Caution
Fruits,6.5,78,54,Good,67.2,6.2,Yes,24,Caution
Vegetables,27,70,11,Damaged,65.9,4.4,Yes,13,Reject
Dairy,11.6,55,43,Good,37.4,5.7,Yes,16,Caution
Vegetables,34.7,49,49,Good,20.6,6.7,No,2,Reject
Vegetables,31.8,56,31,Good,54.7,3.4,No,13,Reject
Grains,19.9,51,27,Good,12.4,4.4,No,11,Caution
Meat,3.5,92,39,Good,15,6.5,Yes,18,Caution
Fruits,22.8,74,21,Average,18.4,6.5,Yes,24,Reject
Vegetables,14.6,47,17,Average,53.8,5.8,Yes,17,Caution
Meat,20.2,55,17,Average,81,5,Yes,1,Caution
Dairy,11.1,64,24,Good,42,4.9,Yes,1,Caution
Meat,20.3,90,58,Good,32.6,5.4,No,1,Reject
Fruits,29.4,40,59,Average,53.3,4.8,Yes,2,Caution
Grains,32.2,71,23,Good,57.2,6.8,No,5,Caution
Fruits,9.3,55,20,Good,75.6,3.9,Yes,21,Caution
Dairy,31.4,68,43,Good,15.5,3.9,Yes,15,Caution
Dairy,33.4,68,57,Good,45.7,5.7,Yes,23,Caution
Vegetables,21.5,85,35,Good,66.6,4.2,No,8,Reject
Dairy,27.3,75,5,Good,76.3,6.9,Yes,14,Caution
Grains,10.2,76,23,Average,69.4,6.8,No,1,Caution
Dairy,16.4,87,14,Good,24.2,5.8,No,23,Reject
Grains,10.2,52,38,Damaged,53.3,6.9,No,23,Reject
Grains,21.2,82,29,Good,83.8,4.4,No,5,Caution
Dairy,34.8,43,3,Good,76.7,6.1,No,3,Caution
Meat,4.7,69,55,Good,67,6.5,No,19,Caution
Fruits,0.5,55,3,Good,42.1,5.6,No,6,Safe
Fruits,26.3,57,24,Good,40.6,6.6,Yes,5,Caution
Vegetables,17.3,42,42,Good,25.4,3.2,Yes,14,Caution
Meat,29.4,47,58,Good,81.2,5.2,Yes,10,Caution
Grains,1.1,73,44,Good,16.2,4.1,No,4,Safe
Vegetables,30,76,18,Good,78.7,6.8,Yes,23,Caution
Dairy,26.3,50,24,Good,70.3,6.5,Yes,13,Caution
Fruits,10.4,69,17,Damaged,24.6,3.3,Yes,6,Caution
Fruits,5.8,48,16,Damaged,21.2,4.7,Yes,15,Caution
Fruits,25.3,78,53,Good,64.1,4.4,No,8,Reject
Vegetables,9.8,43,21,Good,60.4,4.8,Yes,6,Caution
Fruits,5.2,67,1,Good,38.4,6.3,Yes,6,Safe
Grains,17.5,51,59,Good,73.6,3.6,No,19,Caution
Dairy,13.4,58,56,Good,54.1,4.5,Yes,18,Caution
Meat,23.3,43,27,Average,35.8,6.8,Yes,8,Caution
Meat,13.4,79,28,Average,26.5,3.5,Yes,10,Caution
Vegetables,6.7,84,17,Average,73.4,6.9,Yes,1,Caution
Dairy,25.4,86,59,Good,71.4,5.8,No,7,Reject
Meat,20.7,92,58,Good,14.1,5.7,Yes,18,Reject
Vegetables,30.1,58,26,Average,76.8,4.9,Yes,7,Caution
Vegetables,20,41,15,Good,37.7,5.3,Yes,10,Caution
Fruits,15.7,81,53,Good,63.6,6.6,Yes,21,Caution
Fruits,27.2,95,5,Damaged,14.5,4,Yes,24,Reject
Fruits,10.9,78,34,Good,64.5,4.6,Yes,18,Caution
Dairy,5.4,64,49,Good,47.3,5.5,Yes,3,Safe
Vegetables,4.5,61,11,Average,85.1,6.1,Yes,24,Caution
Dairy,9.7,63,36,Good,45.8,6.8,Yes,7,Caution
Fruits,14.6,73,55,Good,16.9,7.1,Yes,4,Caution
Meat,30.7,94,13,Good,79,4.2,Yes,7,Caution
Grains,26.3,51,26,Average,67.2,4.4,No,16,Reject
Meat,11.7,82,54,Average,39.2,4.2,Yes,24,Caution
Dairy,0.2,45,24,Good,17.9,4.7,No,14,Caution
Meat,19.2,77,5,Damaged,24.8,3.5,Yes,15,Caution
Vegetables,19.9,76,5,Good,69.9,5,Yes,24,Caution
Grains,33.2,74,21,Damaged,54.8,6.4,No,11,Reject
Vegetables,13.1,92,36,Damaged,43.4,6,Yes,12,Reject
Grains,23.7,84,59,Good,63.6,6.2,No,8,Caution
Vegetables,19.7,61,23,Good,28.4,4.3,No,12,Reject
Vegetables,14.3,43,55,Good,77.7,5.3,Yes,4,Caution
Vegetables,33.8,48,57,Good,47.9,6.2,Yes,5,Caution
Dairy,10.9,43,33,Good,36.4,5.2,Yes,20,Caution
Fruits,8.8,82,21,Average,29.9,5.9,Yes,24,Caution
Meat,17.3,52,47,Average,19.9,4.9,No,23,Reject
Fruits,22.2,60,15,Damaged,57.5,4.1,Yes,21,Reject
Grains,33.3,62,44,Average,44.4,5.5,No,5,Caution
Dairy,16.4,83,45,Damaged,32.4,6.7,Yes,1,Reject
Vegetables,19.1,45,23,Good,56.4,3.8,Yes,8,Caution
Dairy,16.3,46,59,Average,38.7,6.4,Yes,18,Reject
Dairy,7.1,43,58,Damaged,56.9,6.4,No,23,Reject
Meat,17.5,73,45,Good,36.2,3.7,Yes,8,Caution
Meat,6.5,93,37,Damaged,41,6.1,No,9,Reject
Fruits,14.2,50,46,Good,79.8,7,No,1,Caution
Meat,31.9,63,32,Good,30.7,5.2,No,24,Reject
Grains,30.1,59,13,Good,20.7,6.9,No,19,Caution
Dairy,7.9,87,15,Good,34.1,4.4,Yes,3,Safe
Meat,29.7,82,41,Good,48.1,4.3,Yes,6,Caution
Dairy,18.8,66,19,Average,79,4.7,No,10,Reject
Grains,12.4,49,41,Good,29,3.4,No,11,Caution
Meat,4.2,43,49,Good,26.8,4.9,Yes,9,Safe
Grains,25,54,44,Damaged,89.2,3.7,No,15,Reject
Vegetables,20.1,40,39,Good,25.9,5.5,No,4,Reject
Grains,28.4,53,31,Average,24.4,6.9,No,5,Caution
Meat,25,71,40,Good,17.3,7.1,Yes,20,Caution
Grains,29.4,46,2,Damaged,36.8,5.8,No,23,Caution
Meat,31.6,95,13,Good,74.9,5.1,Yes,13,Caution
Dairy,11,44,18,Good,38.7,6.3,Yes,16,Caution
Vegetables,34.9,41,4,Good,89.6,6.4,Yes,17,Caution
Fruits,29.1,48,54,Average,33.1,7,Yes,4,Caution
Vegetables,29,60,44,Good,30.9,4.2,Yes,9,Caution
Fruits,18.7,53,16,Damaged,75.7,7.1,Yes,11,Reject
Dairy,27.1,71,40,Good,57.5,6.6,Yes,3,Caution
Grains,16.6,61,7,Good,22.2,6.5,No,16,Caution
Fruits,21.2,83,23,Average,44.5,5.1,Yes,15,Reject
Meat,4.7,81,4,Good,78.8,6.7,No,20,Caution
Meat,2.8,57,58,Good,11.4,6.7,Yes,23,Caution
Meat,2.7,67,12,Good,49.9,3.5,Yes,14,Safe
Dairy,28.8,94,57,Damaged,40.9,5.6,Yes,8,Reject
Grains,22.8,84,5,Average,40.9,4.6,No,1,Caution
Meat,11.9,88,59,Average,19,6.4,Yes,4,Caution
Meat,16.9,74,1,Good,21.8,4.9,Yes,18,Caution
Fruits,15.9,94,59,Average,78.4,5.1,Yes,1,Reject
Grains,21.5,45,36,Damaged,43.5,6,No,2,Reject
Meat,3.6,90,51,Good,15.8,5.8,Yes,1,Caution
Dairy,35,76,31,Average,16.8,6.2,No,12,Reject
Vegetables,5,62,56,Good,70,4.3,Yes,3,Safe
Dairy,33,64,40,Good,46.8,5.2,Yes,20,Caution
Dairy,15.1,64,57,Good,45.2,4.3,Yes,10,Caution
Vegetables,14.1,54,12,Good,87.1,5.3,Yes,1,Safe
Fruits,14.5,59,21,Good,41.5,5.4,Yes,2,Caution
Grains,30.9,92,17,Good,64.6,6.6,No,8,Caution
Dairy,27.9,59,44,Good,84.6,4.7,No,12,Reject
Meat,0.4,80,34,Good,47.9,5,Yes,18,Caution
Vegetables,34,89,43,Average,55.8,4.2,Yes,3,Reject
Vegetables,9.5,62,46,Good,16.2,4.1,No,21,Reject
Meat,1,46,22,Good,38.7,3.4,No,2,Caution
Fruits,10.3,86,29,Good,21.1,7.2,No,20,Reject
Vegetables,3.1,60,41,Good,25.5,6.1,Yes,20,Caution
Dairy,31.3,86,16,Good,70.4,5,Yes,9,Caution
Fruits,14.2,47,33,Good,77.9,4.3,Yes,16,Caution
Dairy,33.7,48,1,Good,24.8,6.2,Yes,14,Caution
Vegetables,19.9,67,41,Good,20.1,6.5,No,16,Reject
Vegetables,6.5,59,44,Good,10.3,5.9,No,23,Caution
Grains,16.4,68,10,Good,8.2,6.6,No,22,Caution
Vegetables,14.1,95,15,Good,89.6,5.2,No,22,Reject
Dairy,10.6,76,56,Damaged,34.2,6.3,Yes,17,Reject
Meat,26.6,75,1,Good,75.3,3.7,No,13,Caution
Dairy,23,54,34,Good,26.6,4.4,Yes,7,Caution
Grains,17.6,73,49,Average,64.6,3.7,No,19,Reject
Grains,6.8,48,1,Good,47,6.4,No,7,Safe
Meat,34.3,82,29,Good,68.4,3.3,Yes,22,Caution
Grains,24.6,75,47,Good,80.5,3.2,No,21,Caution
Fruits,23.7,61,24,Damaged,39.6,4.3,Yes,17,Reject
Fruits,20,86,4,Average,16.3,5.6,Yes,19,Caution
Dairy,31.6,91,22,Good,8.6,5.6,No,13,Reject
Vegetables,8.2,78,40,Average,74.1,3.3,Yes,22,Caution
Fruits,20.6,58,36,Good,29.4,7,Yes,3,Caution
Vegetables,25.7,40,45,Average,15.2,3.2,Yes,17,Reject
Dairy,21.3,83,5,Average,64.4,7.2,No,5,Caution
Vegetables,8.2,84,16,Average,28.6,6.9,Yes,3,Caution
Grains,32.2,50,7,Average,62.3,6.6,No,23,Caution
Grains,14,73,3,Average,50.7,4.5,No,12,Caution
Fruits,34.4,66,37,Damaged,84.7,7.1,No,21,Reject
Meat,13,91,34,Average,15.8,3.3,No,17,Reject
Meat,8.3,61,38,Good,59.3,3.3,Yes,10,Caution
Vegetables,23,56,47,Good,40.9,5,Yes,12,Caution
Grains,28,95,50,Good,15.9,6.5,No,12,Reject
Dairy,34.8,65,30,Good,22.8,3.4,Yes,6,Caution
Vegetables,29.4,61,29,Good,49.1,4.8,Yes,13,Caution
Fruits,19.1,82,21,Good,18.1,6.4,No,15,Reject
Vegetables,14,47,54,Average,52.5,5,No,6,Reject
Vegetables,29.2,90,41,Damaged,31.2,4.4,Yes,9,Reject
Fruits,2.4,89,28,Good,26.4,4.9,Yes,9,Caution
Meat,20.3,89,44,Average,25.6,5.4,No,21,Reject
Dairy,14.6,89,21,Average,56.6,7.1,Yes,6,Caution
Grains,1,84,31,Average,43,6.9,No,19,Caution
Meat,25,79,59,Good,80.1,5.1,Yes,17,Caution
Meat,6,78,33,Good,60.1,6.9,Yes,13,Caution
Grains,8.4,55,8,Average,36.9,6.9,No,24,Caution
Meat,31.5,53,8,Damaged,36.3,7,Yes,24,Reject
Vegetables,7.7,85,5,Average,35.5,5.3,Yes,17,Safe
Grains,1.5,67,53,Good,88.3,6.3,No,17,Caution
Dairy,12,50,16,Good,23.3,3.7,Yes,1,Caution
Dairy,15.8,93,49,Good,11.9,6,No,4,Reject
Vegetables,16.5,63,30,Average,68.9,4.3,Yes,20,Reject
Meat,31.6,73,14,Good,31.9,6.6,No,15,Reject
Dairy,16.3,68,50,Average,75.2,5.1,No,10,Reject
Dairy,17.7,42,49,Good,82.7,4.3,Yes,2,Caution
Fruits,2.2,59,24,Good,44.5,4.5,No,20,Caution
Meat,9.2,53,5,Good,15.9,3.8,Yes,8,Safe
Fruits,25.9,42,57,Good,60.9,5.5,Yes,20,Caution
Vegetables,34.3,75,4,Good,57.2,3.4,No,18,Caution
Grains,31.4,49,26,Damaged,40.7,4.8,No,2,Reject
Vegetables,23.6,45,8,Good,57.3,5.5,No,5,Caution
